Account ID,Date of Creation,# Zaps,Plan Type,Average tasks used past 90-days,Filters,Formatter,Chrome Extension,Paths,Salesforce,Dropbox,Google Sheets,Code by Zapier,Webhooks,OpenAI/ChatGPT
674880,2018-02-05,56,Pro,2867,1,1,1,1,1,1,1,1,1,1
496994,2023-02-05,36,Pro,2887,1,1,1,0,1,1,1,1,1,1
2580281,2018-01-20,44,Pro,3701,1,1,1,0,1,1,1,1,1,1
801738,2022-01-21,29,Pro,4916,1,1,1,1,1,0,1,1,1,1
1798947,2022-11-25,11,Pro,3533,1,1,1,1,1,1,1,1,1,0
796675,2017-07-10,60,Pro,458,1,1,1,1,1,0,1,1,1,1
1825328,2017-01-09,28,Pro,4215,1,1,1,1,1,1,1,1,0,1
2318699,2020-09-13,52,Pro,2692,1,1,1,1,1,1,1,1,1,0
1184089,2020-06-13,187,Teams,5380,1,1,1,1,1,1,1,1,0,1
1229728,2021-03-24,17,Pro,2077,0,1,1,1,1,1,1,1,1,1
2621030,2019-01-07,15,Starter,1294,1,1,1,0,1,1,1,1,1,1
1693168,2018-05-27,29,Pro,2415,1,1,1,1,1,1,0,1,1,1
2667905,2021-11-18,3,Starter,1140,1,1,1,0,1,1,1,1,1,1
1173852,2019-09-16,7,Pro,2622,1,0,1,1,1,1,1,1,1,1
286542,2020-06-05,17,Starter,1230,1,1,1,0,1,1,1,1,1,1
316939,2020-04-23,3,Starter,1199,1,1,1,0,1,1,1,1,1,1
2282479,2018-09-09,26,Pro,493,1,1,1,1,1,1,0,1,1,1
175834,2020-06-12,12,Pro,3362,1,1,1,1,1,1,1,1,1,0
1584506,2019-05-16,40,Pro,4191,1,1,1,1,1,1,1,1,0,1
1481945,2017-06-27,5,Starter,1067,1,1,1,0,1,1,1,1,1,1
1131319,2022-12-08,49,Company,10280,1,1,1,1,1,1,0,1,1,1
1896731,2021-02-27,18,Starter,299,1,1,1,0,1,1,1,1,1,1
1858869,2019-03-08,10,Starter,1069,1,1,1,0,1,1,1,1,1,1
1431137,2018-04-11,102,Teams,21827,1,0,1,1,1,1,1,1,1,1
1407172,2020-03-08,37,Pro,4925,1,1,1,1,1,0,1,1,1,0
105357,2020-02-17,52,Pro,2952,1,0,1,1,1,0,1,1,1,1
586993,2022-01-09,2,Starter,1348,1,1,1,0,1,1,1,0,1,1
2942283,2019-12-12,60,Pro,459,1,0,1,1,1,1,1,1,0,1
273878,2017-11-04,30,Pro,1186,1,0,1,1,1,1,1,0,1,1
2493144,2018-12-02,48,Pro,2747,1,1,1,0,1,1,1,0,1,1
810274,2019-03-07,21,Pro,3659,1,0,1,1,1,1,0,1,1,1
2042569,2017-09-15,58,Pro,4141,0,1,1,1,1,1,0,1,1,1
1334921,2022-11-18,56,Company,28295,1,0,1,1,1,1,1,1,1,0
2968560,2017-06-19,17,Starter,927,1,1,1,0,1,1,0,1,1,1
2039924,2017-09-19,12,Starter,336,1,1,1,0,1,1,1,0,1,1
1420676,2017-04-24,15,Starter,625,0,1,1,0,1,1,1,1,1,1
269485,2017-02-04,20,Starter,477,1,1,1,0,1,1,0,1,1,1
1573553,2018-04-18,91,Company,38496,1,1,1,1,1,1,1,0,1,0
2607049,2021-12-10,45,Pro,4755,0,1,1,1,1,1,0,1,1,1
910367,2017-07-11,151,Teams,23783,0,0,1,1,1,1,1,1,1,1
1747651,2022-04-30,252,Company,13156,1,0,1,1,1,1,1,1,0,1
2503769,2022-10-22,60,Pro,4390,1,0,1,1,1,1,1,1,1,0
1832171,2020-09-15,5,Pro,1386,1,0,0,1,1,1,1,1,1,1
475995,2020-03-28,226,Teams,3335,0,1,0,1,1,1,1,1,1,1
882516,2022-12-20,133,Teams,37806,1,1,0,1,1,1,0,1,1,1
1456800,2022-01-25,14,Starter,596,1,1,1,0,1,0,1,1,1,1
1455031,2021-10-29,32,Pro,2396,1,1,1,1,1,1,1,0,0,1
1692862,2021-07-03,25,Pro,549,1,1,1,0,1,1,0,1,1,1
2225532,2020-10-02,27,Pro,1642,1,0,1,1,1,1,1,1,0,1
1534999,2021-11-25,290,Teams,49829,1,1,1,1,1,1,0,1,1,0
2386645,2018-12-09,14,Starter,1359,1,1,0,0,1,1,1,1,1,1
806404,2018-11-13,55,Pro,3268,0,1,1,1,1,1,1,1,0,1
1076176,2020-06-03,55,Pro,3509,1,0,1,1,1,1,1,1,0,1
545182,2021-11-15,17,Starter,1012,1,1,1,0,1,1,1,1,1,0
915876,2020-10-26,20,Pro,2576,1,0,1,1,1,1,1,0,1,1
1526967,2019-10-24,12,Starter,1308,1,1,1,0,1,1,0,1,1,1
236620,2019-09-07,17,Starter,272,1,1,1,0,1,1,1,1,1,0
1313410,2020-02-20,4,Starter,690,1,1,1,0,1,1,1,1,1,0
1959023,2016-12-24,7,Teams,45184,0,1,1,1,0,1,1,1,1,1
286331,2019-05-14,109,Company,6041,1,1,1,1,1,1,1,1,0,0
1776982,2019-01-14,12,Pro,867,1,1,1,1,0,1,1,1,0,1
1955564,2022-01-18,209,Teams,27501,1,1,1,1,0,0,1,1,1,1
2183703,2022-12-22,114,Company,48969,1,1,1,1,0,0,1,1,1,1
1896000,2023-01-17,163,Teams,32794,1,1,1,1,1,1,0,0,1,1
2118330,2018-03-07,9,Starter,1475,1,1,1,0,1,1,0,1,1,1
370054,2022-05-03,19,Starter,912,1,1,0,0,1,1,1,1,1,1
2466833,2018-10-30,6,Starter,269,1,0,1,0,1,1,1,1,1,1
2468644,2022-09-24,6,Pro,4964,1,1,1,1,0,0,1,1,1,1
1310242,2017-03-17,47,Pro,188,1,1,1,0,1,0,1,1,1,1
404209,2017-03-27,50,Pro,1720,1,1,1,0,1,1,1,1,1,0
2143167,2017-12-07,33,Pro,1698,1,1,1,1,0,1,1,0,1,1
